Sample	callRate	nCalled	nNotCalled	nHomRef	nHet	nHomVar	nSNP	nInsertion	nDeletion	nSingleton	nTransition	nTransversion	dpMean	dpStDev	gqMean	gqStDev	nNonRef	rTiTv	rHetHomVar	rInsertionDeletion
PIE_OGI590_001215_1	9.78733e-01	364944	7930	301486	42336	21122	74041	4784	5521	204	51711	22330	7.18592e+01	7.39764e+01	8.22023e+01	3.12105e+01	63458	2.31576e+00	2.00436e+00	8.66510e-01
PIE_OGI993_001976_1	9.78891e-01	365003	7871	300797	42895	21311	74860	4770	5627	192	52373	22487	7.39622e+01	7.33539e+01	8.29719e+01	3.09111e+01	64206	2.32903e+00	2.01281e+00	8.47699e-01
PIE_OGI842_001831_1	9.69968e-01	361676	11198	298073	43130	20473	74656	4274	4866	522	52031	22625	6.52041e+01	6.90170e+01	7.86331e+01	3.35263e+01	63603	2.29971e+00	2.10668e+00	8.78339e-01
PIE_OGI842_001651_1	9.76282e-01	364030	8844	300389	42946	20695	74212	4624	5235	168	51768	22444	9.71532e+01	1.04410e+02	8.28517e+01	3.14389e+01	63641	2.30654e+00	2.07519e+00	8.83286e-01
PIE_OGI279_000604_1	9.73959e-01	363164	9710	299440	42743	20981	75160	4317	5005	575	52417	22743	7.37713e+01	7.94071e+01	8.04431e+01	3.26443e+01	63724	2.30475e+00	2.03722e+00	8.62537e-01
PIE_OGI841_001645_1	9.74613e-01	363408	9466	299834	42486	21088	74852	4409	5143	186	52184	22668	7.36205e+01	7.45436e+01	8.11032e+01	3.22358e+01	63574	2.30210e+00	2.01470e+00	8.57282e-01
PIE_OGI844_001660_1	9.74718e-01	363447	9427	300855	42448	20144	73159	4329	5021	156	51142	22017	7.55711e+01	7.94367e+01	8.10904e+01	3.21765e+01	62592	2.32284e+00	2.10723e+00	8.62179e-01
PIE_OGI842_001649_1	9.75080e-01	363582	9292	299273	43439	20870	75210	4502	5222	223	52480	22730	7.93318e+01	7.93580e+01	8.23686e+01	3.16709e+01	64309	2.30884e+00	2.08141e+00	8.62122e-01
PIE_OGI497_001023_1	9.77867e-01	364621	8253	300975	42460	21186	74812	4569	5188	567	52194	22618	8.29784e+01	8.68573e+01	8.26222e+01	3.12869e+01	63646	2.30763e+00	2.00415e+00	8.80686e-01
PIE_OGI834_001605_1	9.76091e-01	363959	8915	300526	42467	20966	74475	4499	5185	248	52024	22451	7.72637e+01	7.84859e+01	8.20681e+01	3.16041e+01	63433	2.31722e+00	2.02552e+00	8.67695e-01
PIE_OGI773_001511_1	9.73393e-01	362953	9921	299572	42832	20549	74401	4299	4988	183	51822	22579	7.78602e+01	8.26043e+01	8.09832e+01	3.23988e+01	63381	2.29514e+00	2.08438e+00	8.61868e-01
PIE_OGI691_001383_1	9.78961e-01	365029	7845	300519	43788	20722	74733	4856	5407	760	52191	22542	7.58796e+01	7.81546e+01	8.20439e+01	3.16227e+01	64510	2.31528e+00	2.11312e+00	8.98095e-01
PIE_OGI847_001678_1	9.76920e-01	364268	8606	287542	55136	21590	87274	5000	5793	5377	61190	26084	6.62392e+01	6.10276e+01	8.17693e+01	3.17271e+01	76726	2.34588e+00	2.55377e+00	8.63111e-01
PIE_OGI834_001602_1	9.74900e-01	363515	9359	300668	41985	20862	73879	4355	5211	184	51710	22169	5.97717e+01	5.40855e+01	8.00930e+01	3.27643e+01	62847	2.33254e+00	2.01251e+00	8.35732e-01
PIE_OGI845_001666_1	9.74324e-01	363300	9574	299920	42685	20695	74436	4424	4971	196	51895	22541	7.08605e+01	7.23540e+01	8.03256e+01	3.25845e+01	63380	2.30225e+00	2.06258e+00	8.89962e-01
PIE_OGI839_001632_1	9.77065e-01	364322	8552	300572	42451	21299	75063	4519	5250	204	52344	22719	8.06296e+01	8.06989e+01	8.25493e+01	3.14651e+01	63750	2.30397e+00	1.99310e+00	8.60762e-01
PIE_OGI499_001028_1	9.77260e-01	364395	8479	300666	43124	20605	74462	4490	5109	622	52019	22443	8.29188e+01	8.66671e+01	8.28056e+01	3.12577e+01	63729	2.31783e+00	2.09289e+00	8.78841e-01
PIE_OGI237_000523_1	9.71494e-01	362245	10629	299807	41541	20897	73743	4363	4979	277	51766	21977	7.82197e+01	8.90157e+01	7.70938e+01	3.48128e+01	62438	2.35546e+00	1.98789e+00	8.76280e-01
PIE_OGI837_001626_1	9.80691e-01	365674	7200	300660	44294	20720	75157	4899	5467	427	52144	23013	1.21225e+02	1.28309e+02	8.68796e+01	2.85820e+01	65014	2.26585e+00	2.13774e+00	8.96104e-01
PIE_OGI590_001918_1	9.82707e-01	366426	6448	300048	45255	21123	76085	5441	5714	953	52976	23109	1.32621e+02	1.32404e+02	8.98141e+01	2.53660e+01	66378	2.29244e+00	2.14245e+00	9.52223e-01
PIE_OGI846_001674_1	9.74450e-01	363347	9527	300425	42370	20552	73738	4420	5111	1068	51590	22148	8.75092e+01	9.40381e+01	7.95893e+01	3.35189e+01	62922	2.32933e+00	2.06160e+00	8.64801e-01
PIE_OGI947_001902_1	9.77513e-01	364489	8385	301011	43089	20389	73709	4592	5346	626	51396	22313	7.95672e+01	8.38271e+01	8.21412e+01	3.16096e+01	63478	2.30341e+00	2.11335e+00	8.58960e-01
PIE_OGI536_001098_1	9.71856e-01	362380	10494	298987	42490	20903	74757	4260	4980	169	52279	22478	7.01735e+01	7.57115e+01	7.97593e+01	3.28106e+01	63393	2.32579e+00	2.03272e+00	8.55422e-01
PIE_OGI845_001669_1	9.72736e-01	362708	10166	299085	43006	20617	74649	4301	4992	419	51968	22681	6.94196e+01	7.17852e+01	7.98238e+01	3.27988e+01	63623	2.29126e+00	2.08595e+00	8.61579e-01
PIE_OGI279_000648_1	9.75775e-01	363841	9033	299190	43912	20739	75455	4509	5188	601	52584	22871	8.92199e+01	9.87466e+01	8.19214e+01	3.18833e+01	64651	2.29916e+00	2.11736e+00	8.69121e-01
PIE_OGI827_001592_1	9.73790e-01	363101	9773	299998	42303	20800	74389	4264	5021	730	51987	22402	7.52632e+01	7.83052e+01	8.12833e+01	3.19518e+01	63103	2.32064e+00	2.03380e+00	8.49233e-01
PIE_OGI949_001907_1	9.77647e-01	364539	8335	300801	42673	21065	74520	4656	5327	226	52004	22516	7.28789e+01	7.86751e+01	8.08398e+01	3.22009e+01	63738	2.30965e+00	2.02578e+00	8.74038e-01
PIE_OGI773_001513_1	9.73731e-01	363079	9795	299165	43372	20542	74777	4379	5033	319	51954	22823	7.35220e+01	7.86397e+01	7.97352e+01	3.30712e+01	63914	2.27639e+00	2.11138e+00	8.70058e-01
PIE_OGI837_001621_1	9.76491e-01	364108	8766	300397	42167	21544	75271	4499	5228	166	52438	22833	7.76456e+01	8.03821e+01	8.22527e+01	3.14465e+01	63711	2.29659e+00	1.95725e+00	8.60559e-01
PIE_OGI694_001387_1	9.77266e-01	364397	8477	299576	43112	21709	76313	4575	5365	244	53233	23080	8.15316e+01	8.29799e+01	8.23731e+01	3.15946e+01	64821	2.30646e+00	1.98590e+00	8.52749e-01
PIE_OGI841_001648_1	9.73399e-01	362955	9919	299456	42407	21092	74885	4362	5097	500	52174	22711	7.25368e+01	7.39240e+01	8.04053e+01	3.27172e+01	63499	2.29730e+00	2.01057e+00	8.55798e-01
PIE_OGI299_001219_1	9.75340e-01	363679	9195	299558	41941	22180	76169	4576	5315	1022	53115	23054	6.43614e+01	6.49761e+01	7.94239e+01	3.29140e+01	64121	2.30394e+00	1.89094e+00	8.60960e-01
PIE_OGI948_001904_1	9.76223e-01	364008	8866	300086	43109	20813	74665	4496	5336	227	52313	22352	7.75110e+01	8.11610e+01	8.02363e+01	3.28199e+01	63922	2.34042e+00	2.07125e+00	8.42579e-01
PIE_OGI724_001440_1	9.72076e-01	362462	10412	298705	42006	21751	75948	4333	4978	496	53036	22912	6.79875e+01	7.16603e+01	7.91890e+01	3.33341e+01	63757	2.31477e+00	1.93122e+00	8.70430e-01
PIE_OGI947_001901_1	9.75785e-01	363845	9029	300349	42786	20710	73863	4675	5440	238	51547	22316	7.64701e+01	7.98118e+01	8.27286e+01	3.12643e+01	63496	2.30987e+00	2.06596e+00	8.59375e-01
PIE_OGI504_001041_1	9.75445e-01	363718	9156	299089	43960	20669	75377	4529	5103	774	52473	22904	7.19033e+01	7.44224e+01	8.04616e+01	3.25283e+01	64629	2.29100e+00	2.12686e+00	8.87517e-01
PIE_OGI902_001829_1	9.75989e-01	363921	8953	298312	44796	20813	76223	4488	5432	574	53034	23189	7.78991e+01	8.17624e+01	8.24323e+01	3.15069e+01	65609	2.28703e+00	2.15231e+00	8.26215e-01
PIE_OGI497_001021_1	9.71679e-01	362314	10560	299214	41972	21128	74686	4335	4913	242	52059	22627	6.42315e+01	6.78891e+01	7.84565e+01	3.34190e+01	63100	2.30075e+00	1.98656e+00	8.82353e-01
PIE_OGI917_001851_1	9.75386e-01	363696	9178	299273	43824	20599	75049	4442	5280	193	52368	22681	7.16999e+01	7.35199e+01	8.14396e+01	3.18869e+01	64423	2.30889e+00	2.12748e+00	8.41288e-01
PIE_OGI943_001893_1	9.76080e-01	363955	8919	299756	42537	21662	75628	4604	5357	731	52618	23010	7.60848e+01	8.14510e+01	7.96926e+01	3.30300e+01	64199	2.28674e+00	1.96367e+00	8.59436e-01
