Sample	callRate	nCalled	nNotCalled	nHomRef	nHet	nHomVar	nSNP	nInsertion	nDeletion	nSingleton	nTransition	nTransversion	dpMean	dpStDev	gqMean	gqStDev	nNonRef	rTiTv	rHetHomVar	rInsertionDeletion
91790755	9.53834e-01	788663	38172	746766	24029	17868	50029	4208	5528	217	35411	14618	4.27931e+01	4.04271e+01	7.23411e+01	3.27938e+01	41897	2.42242e+00	1.34481e+00	7.61216e-01
1050797358a	9.55754e-01	790251	36584	749756	23537	16958	47842	4229	5382	168	33693	14149	6.28532e+01	5.41573e+01	8.03821e+01	3.02601e+01	40495	2.38130e+00	1.38796e+00	7.85767e-01
91791013a	9.61170e-01	794729	32106	753365	22875	18489	49938	4281	5634	55	35491	14447	6.29186e+01	5.47677e+01	8.09839e+01	2.96750e+01	41364	2.45663e+00	1.23722e+00	7.59851e-01
91803529	9.58582e-01	792589	34246	752437	23105	17047	46361	4749	6089	93	32769	13592	9.03919e+01	7.58212e+01	8.39194e+01	2.79939e+01	40152	2.41090e+00	1.35537e+00	7.79931e-01
91807924a	9.55123e-01	789729	37106	749146	22946	17637	48424	4361	5435	347	34238	14186	6.51424e+01	5.61424e+01	8.14324e+01	2.95437e+01	40583	2.41351e+00	1.30101e+00	8.02392e-01
91790558a	9.55977e-01	790435	36400	749734	23142	17559	48485	4262	5513	135	34236	14249	6.61896e+01	5.65668e+01	8.16684e+01	2.94519e+01	40701	2.40269e+00	1.31796e+00	7.73082e-01
1050801883	9.62035e-01	795444	31391	754328	22527	18589	49043	4687	5975	61	34733	14310	7.42424e+01	6.50779e+01	8.11039e+01	2.96707e+01	41116	2.42718e+00	1.21185e+00	7.84435e-01
1050792984	9.68378e-01	800689	26146	757973	25342	17374	49603	4497	5990	267	35468	14135	7.80934e+01	6.26695e+01	8.55027e+01	2.63809e+01	42716	2.50923e+00	1.45862e+00	7.50751e-01
91790989a	9.48228e-01	784028	42807	744580	21476	17972	47872	4267	5281	86	33633	14239	3.84524e+01	3.72599e+01	6.89678e+01	3.35196e+01	39448	2.36203e+00	1.19497e+00	8.07991e-01
1050799244	9.66606e-01	799224	27611	756232	25594	17398	50002	4442	5946	47	35638	14364	6.29075e+01	5.38926e+01	8.15571e+01	2.91165e+01	42992	2.48106e+00	1.47109e+00	7.47057e-01
91790538	9.44704e-01	781114	45721	742624	21519	16971	45651	4255	5555	86	32196	13455	1.14893e+02	8.01121e+01	8.96433e+01	2.33879e+01	38490	2.39287e+00	1.26799e+00	7.65977e-01
91807320	9.51994e-01	787142	39693	744219	24861	18062	50360	4791	5834	142	34911	15449	9.03776e+01	7.30676e+01	8.42810e+01	2.83071e+01	42923	2.25976e+00	1.37643e+00	8.21220e-01
91791939	9.44078e-01	780597	46238	737902	23753	18942	51407	4737	5493	138	35588	15819	6.32710e+01	5.65617e+01	7.84936e+01	3.19297e+01	42695	2.24970e+00	1.25399e+00	8.62370e-01
91807600	9.54577e-01	789278	37557	744268	26500	18510	52915	5081	5524	171	35942	16973	6.81457e+01	5.77480e+01	8.07712e+01	3.06352e+01	45010	2.11760e+00	1.43166e+00	9.19804e-01
91790635a	9.55310e-01	789884	36951	750297	21803	17784	47801	4206	5364	154	33683	14118	5.72813e+01	5.10208e+01	7.88190e+01	3.07577e+01	39587	2.38582e+00	1.22599e+00	7.84116e-01
91807816a	9.56373e-01	790763	36072	750006	23326	17431	48427	4269	5492	77	34157	14270	5.85111e+01	5.16269e+01	7.93734e+01	3.05912e+01	40757	2.39362e+00	1.33819e+00	7.77312e-01
MC-22901_90127880	9.58549e-01	792562	34273	749605	23694	19263	52003	4505	5712	126	36932	15071	4.05074e+01	3.91772e+01	6.99093e+01	3.38294e+01	42957	2.45053e+00	1.23003e+00	7.88690e-01
AU-6201_4	9.49505e-01	785084	41751	746110	20981	17993	47244	4263	5460	58	32859	14385	4.84594e+01	4.52119e+01	7.46235e+01	3.23991e+01	38974	2.28425e+00	1.16606e+00	7.80769e-01
1050792731	9.59587e-01	793420	33415	751628	25332	16460	48182	4379	5691	123	34460	13722	4.61277e+01	4.30465e+01	7.42659e+01	3.21847e+01	41792	2.51130e+00	1.53900e+00	7.69461e-01
91790933	9.58905e-01	792856	33979	751167	24537	17152	48997	4285	5559	102	34684	14313	6.84110e+01	5.74688e+01	8.29810e+01	2.85782e+01	41689	2.42325e+00	1.43056e+00	7.70822e-01
