Sample	callRate	nCalled	nNotCalled	nHomRef	nHet	nHomVar	nSNP	nInsertion	nDeletion	nSingleton	nTransition	nTransversion	dpMean	dpStDev	gqMean	gqStDev	nNonRef	rTiTv	rHetHomVar	rInsertionDeletion
1873nih	9.76920e-01	19029127	449565	13972006	3334514	1722607	5535242	593874	650612	101255	3686288	1848954	2.94309e+01	4.69808e+01	6.97360e+01	3.51295e+01	5057121	1.99372e+00	1.93574e+00	9.12793e-01
1864nih	9.86871e-01	19222953	255739	14086222	3395824	1740907	5537230	673589	666819	203973	3675989	1861241	6.91495e+01	7.92165e+01	8.51616e+01	2.99475e+01	5136731	1.97502e+00	1.95061e+00	1.01015e+00
1878nih	9.78366e-01	19057281	421411	14059396	3300272	1697613	5426462	601739	667296	105413	3609830	1816632	2.96559e+01	4.42925e+01	7.05016e+01	3.49782e+01	4997885	1.98710e+00	1.94407e+00	9.01757e-01
2052nih	9.85091e-01	19188275	290417	14094473	3342859	1750943	5490633	660330	693779	69801	3643487	1847146	4.91132e+01	4.95137e+01	8.16576e+01	3.22057e+01	5093802	1.97250e+00	1.90918e+00	9.51787e-01
2059nih	9.79856e-01	19086317	392375	14143365	3206214	1736738	5392085	610795	676810	143025	3597455	1794630	3.45423e+01	4.30804e+01	7.57013e+01	3.42960e+01	4942952	2.00457e+00	1.84611e+00	9.02462e-01
1870nih	9.77332e-01	19037145	441547	13929047	3393186	1714912	5565042	595411	662557	117438	3704844	1860198	3.06736e+01	5.36455e+01	7.06655e+01	3.52971e+01	5108098	1.99164e+00	1.97864e+00	8.98656e-01
2056nih	9.74957e-01	18990887	487805	14011815	3235828	1743244	5492521	587474	642321	199135	3653600	1838921	2.81579e+01	4.06412e+01	6.78503e+01	3.53061e+01	4979072	1.98682e+00	1.85621e+00	9.14611e-01
1865nih	9.77559e-01	19041578	437114	14069279	3283457	1688842	5436423	583226	641489	130859	3617375	1819048	2.87216e+01	4.22255e+01	6.88822e+01	3.52266e+01	4972299	1.98861e+00	1.94421e+00	9.09175e-01
2068nih	9.74313e-01	18978337	500355	14129706	3104549	1744082	5451133	543160	598420	161724	3639155	1811978	3.00288e+01	5.19343e+01	6.96603e+01	3.58435e+01	4848631	2.00839e+00	1.78005e+00	9.07657e-01
2057nih	9.74993e-01	18991591	487101	14075712	3212867	1703012	5422601	570940	625350	150438	3614217	1808384	2.80118e+01	4.07422e+01	6.75182e+01	3.53630e+01	4915879	1.99859e+00	1.88658e+00	9.12993e-01
1889nih	9.73800e-01	18968344	510348	14132211	3095416	1740717	5427776	541257	607816	148981	3624812	1802964	2.94029e+01	5.29495e+01	6.81505e+01	3.57188e+01	4836133	2.01047e+00	1.77824e+00	8.90495e-01
1874nih	9.79626e-01	19081837	396855	14035703	3252861	1793273	5536033	617844	685526	103750	3691992	1844041	2.93666e+01	4.94202e+01	6.95334e+01	3.48313e+01	5046134	2.00212e+00	1.81392e+00	9.01270e-01
2063nih	9.73826e-01	18968854	509838	14074265	3198285	1696304	5400707	560722	629463	145940	3607734	1792973	3.06826e+01	4.21472e+01	7.15641e+01	3.54613e+01	4894589	2.01215e+00	1.88544e+00	8.90794e-01
2062nih	9.73827e-01	18968882	509810	14116265	3116913	1735704	5397766	562397	628157	141093	3605753	1792013	3.01059e+01	4.07160e+01	7.05073e+01	3.55072e+01	4852617	2.01212e+00	1.79576e+00	8.95313e-01
2055nih	9.75739e-01	19006125	472567	14004263	3115195	1886667	5609678	605485	673366	316719	3738244	1871434	2.76679e+01	3.93178e+01	6.79178e+01	3.46921e+01	5001862	1.99753e+00	1.65116e+00	8.99192e-01
2058nih	9.75241e-01	18996415	482277	14043159	3090247	1863009	5569045	593381	653838	274021	3717748	1851297	3.00305e+01	4.17724e+01	6.99099e+01	3.52669e+01	4953256	2.00819e+00	1.65874e+00	9.07535e-01
2061nih	9.72902e-01	18950851	527841	13987224	3257723	1705904	5450083	575156	644292	174417	3639201	1810882	2.71660e+01	4.10633e+01	6.66469e+01	3.48859e+01	4963627	2.00963e+00	1.90968e+00	8.92695e-01
1871nih	9.80135e-01	19091744	386948	13933251	3500721	1657772	5520645	611995	683624	54169	3680224	1840421	3.00215e+01	4.97264e+01	7.07195e+01	3.48842e+01	5158493	1.99966e+00	2.11170e+00	8.95222e-01
2066nih	9.70936e-01	18912563	566129	14115696	3053453	1743414	5388129	542544	609608	138123	3599017	1789112	2.94802e+01	5.04423e+01	6.88246e+01	3.56203e+01	4796867	2.01162e+00	1.75142e+00	8.89988e-01
1866nih	9.80014e-01	19089398	389294	14138439	3251436	1699523	5388774	605603	656105	83405	3596529	1792245	2.87526e+01	3.82329e+01	7.01024e+01	3.42634e+01	4950959	2.00672e+00	1.91315e+00	9.23028e-01
1868nih	9.86922e-01	19223956	254736	14012407	3507967	1703582	5559174	662774	693181	64391	3690313	1868861	5.37439e+01	7.01554e+01	8.29114e+01	3.12941e+01	5211549	1.97463e+00	2.05917e+00	9.56134e-01
2067nih	9.76603e-01	19022942	455750	14098371	3187505	1737066	5417200	589019	655418	150659	3612146	1805054	2.85218e+01	3.71480e+01	6.98221e+01	3.40828e+01	4924571	2.00113e+00	1.83499e+00	8.98692e-01
2064nih	9.69612e-01	18886775	591917	14083495	3101360	1701920	5331102	554109	619989	137767	3562212	1768890	2.74586e+01	3.84624e+01	6.73180e+01	3.50719e+01	4803280	2.01381e+00	1.82227e+00	8.93740e-01
1877nih	9.78062e-01	19051366	427326	14157797	3152172	1741397	5386192	596962	651812	94942	3595791	1790401	2.70354e+01	3.85397e+01	6.68073e+01	3.42833e+01	4893569	2.00837e+00	1.81014e+00	9.15850e-01
2530nih	9.77618e-01	19042722	435970	14107869	3190352	1744501	5397586	602048	679720	140604	3600495	1797091	2.81529e+01	3.92068e+01	6.86630e+01	3.44376e+01	4934853	2.00351e+00	1.82880e+00	8.85729e-01
2060nih	9.72492e-01	18942863	535829	14180617	3044797	1717449	5329974	542005	607716	136173	3564096	1765878	2.72345e+01	3.95876e+01	6.63657e+01	3.51182e+01	4762246	2.01831e+00	1.77286e+00	8.91872e-01
1872nih	9.85532e-01	19196866	281826	14017068	3392043	1787755	5585332	677677	704544	66972	3705445	1879887	4.98789e+01	4.91611e+01	8.25490e+01	3.14743e+01	5179798	1.97110e+00	1.89738e+00	9.61866e-01
1869nih	9.77938e-01	19048955	429737	14018895	3293132	1736928	5475195	612860	678931	87819	3645584	1829611	2.58024e+01	3.77145e+01	6.53062e+01	3.40543e+01	5030060	1.99255e+00	1.89595e+00	9.02684e-01
1875nih	9.76725e-01	19025331	453361	13999415	3283344	1742572	5516632	600382	651473	43123	3674901	1841731	3.00076e+01	4.12607e+01	7.06452e+01	3.53626e+01	5025916	1.99535e+00	1.88419e+00	9.21576e-01
2529nih	9.77683e-01	19043977	434715	14084252	3223158	1736567	5408960	607200	680132	170508	3610965	1797995	2.88930e+01	4.01554e+01	6.95340e+01	3.45585e+01	4959725	2.00833e+00	1.85605e+00	8.92768e-01
