Sample	callRate	nCalled	nNotCalled	nHomRef	nHet	nHomVar	nSNP	nInsertion	nDeletion	nSingleton	nTransition	nTransversion	dpMean	dpStDev	gqMean	gqStDev	nNonRef	rTiTv	rHetHomVar	rInsertionDeletion
MWAR103	9.88003e-01	940580	11421	877978	41353	21249	72835	5179	5773	334	51553	21282	6.20863e+01	5.42867e+01	8.81132e+01	2.39748e+01	62602	2.42238e+00	1.94612e+00	8.97107e-01
MSOF010	9.86751e-01	939388	12613	876485	41611	21292	73166	5209	5724	456	51718	21448	5.08827e+01	4.51891e+01	8.54432e+01	2.55137e+01	62903	2.41132e+00	1.95430e+00	9.10028e-01
MAAC054	9.69679e-01	923135	28866	865861	36796	20478	69072	4020	4598	382	49183	19889	3.52817e+01	2.84583e+01	7.43656e+01	3.17632e+01	57274	2.47287e+00	1.79686e+00	8.74293e-01
NA12878	8.97663e-01	854576	97425	808452	27325	18799	60409	2129	2337	382	43590	16819	2.37301e+01	1.86284e+01	5.76011e+01	3.70517e+01	46124	2.59171e+00	1.45353e+00	9.10997e-01
MBEL064	9.65753e-01	919398	32603	864167	35257	19974	68138	3291	3711	404	48700	19438	3.41479e+01	2.56470e+01	7.42488e+01	3.20670e+01	55231	2.50540e+00	1.76514e+00	8.86823e-01
MTEH048	9.87021e-01	939645	12356	877997	38765	22883	73709	5094	5639	655	52194	21515	5.99506e+01	5.31935e+01	8.71073e+01	2.47899e+01	61648	2.42594e+00	1.69405e+00	9.03352e-01
MCOP126	9.80432e-01	933372	18629	871987	40694	20691	71452	5057	5481	326	50539	20913	4.57323e+01	4.17238e+01	8.13648e+01	2.82915e+01	61385	2.41663e+00	1.96675e+00	9.22642e-01
MPAU034	9.84262e-01	937018	14983	874405	41478	21135	73073	5102	5467	506	51592	21481	5.11726e+01	4.71545e+01	8.24226e+01	2.77797e+01	62613	2.40175e+00	1.96253e+00	9.33236e-01
MTEH057	9.87655e-01	940249	11752	878172	40213	21864	73320	4963	5571	696	51766	21554	6.05279e+01	5.69115e+01	8.62615e+01	2.54019e+01	62077	2.40169e+00	1.83923e+00	8.90863e-01
MESP027	9.66216e-01	919839	32162	862705	36925	20209	69045	3893	4350	507	49123	19922	3.28285e+01	2.70077e+01	7.09295e+01	3.30555e+01	57134	2.46577e+00	1.82716e+00	8.94943e-01
MGHE022	9.87118e-01	939737	12264	877286	41828	20623	72298	5125	5569	635	51090	21208	4.64766e+01	4.07892e+01	8.38073e+01	2.63973e+01	62451	2.40900e+00	2.02822e+00	9.20273e-01
MSAN005	9.69811e-01	923261	28740	865464	37107	20690	70770	3560	4093	947	50233	20537	3.84137e+01	2.90677e+01	7.89255e+01	3.03379e+01	57797	2.44598e+00	1.79348e+00	8.69778e-01
MCOP149	9.84689e-01	937425	14576	875006	41904	20515	72133	5225	5491	371	50934	21199	4.89395e+01	4.39446e+01	8.25662e+01	2.74994e+01	62419	2.40266e+00	2.04260e+00	9.51557e-01
MUCH002	9.77715e-01	930786	21215	871291	38834	20661	70487	4508	5111	423	49899	20588	4.72728e+01	4.05686e+01	8.38054e+01	2.72628e+01	59495	2.42369e+00	1.87958e+00	8.82019e-01
MBRU005	9.63735e-01	917477	34524	862062	34821	20594	69022	3304	3629	400	49209	19813	3.93658e+01	3.22302e+01	7.71189e+01	3.13524e+01	55415	2.48367e+00	1.69083e+00	9.10444e-01
MBRU020	9.80605e-01	933537	18464	871321	41483	20733	72143	5182	5522	765	50965	21178	4.67575e+01	4.18700e+01	8.16491e+01	2.80571e+01	62216	2.40651e+00	2.00082e+00	9.38428e-01
MGIE012	9.88282e-01	940845	11156	878176	41168	21501	73015	5308	5746	428	51362	21653	6.32187e+01	6.28617e+01	8.60590e+01	2.55247e+01	62669	2.37205e+00	1.91470e+00	9.23773e-01
MCAI017	9.82838e-01	935663	16338	872392	40477	22794	75094	5250	5626	386	53173	21921	6.79005e+01	6.37452e+01	8.85758e+01	2.41152e+01	63271	2.42566e+00	1.77577e+00	9.33167e-01
MSAN019	9.73686e-01	926950	25051	868021	37725	21204	70687	4446	4946	772	50274	20413	3.91080e+01	3.05083e+01	7.85590e+01	2.98743e+01	58929	2.46284e+00	1.77915e+00	8.98908e-01
MGAL009	9.79018e-01	932026	19975	871459	40383	20184	70720	4832	5133	350	50177	20543	5.28097e+01	4.78024e+01	8.40629e+01	2.72781e+01	60567	2.44254e+00	2.00074e+00	9.41360e-01
MVAL028	9.87574e-01	940171	11830	878023	41140	21008	71950	5328	5802	469	50822	21128	5.32399e+01	4.72153e+01	8.70157e+01	2.44973e+01	62148	2.40543e+00	1.95830e+00	9.18304e-01
MTOR020	9.62547e-01	916346	35655	860462	35320	20564	69552	3252	3598	558	49417	20135	3.46276e+01	2.68208e+01	7.35091e+01	3.19459e+01	55884	2.45428e+00	1.71756e+00	9.03835e-01
MBEL078_2	9.81627e-01	934510	17491	875618	37915	20977	70193	4513	5074	393	49854	20339	4.50673e+01	4.35662e+01	7.87639e+01	3.00794e+01	58892	2.45115e+00	1.80746e+00	8.89436e-01
MVAL042	9.87804e-01	940390	11611	877809	41963	20618	72248	5082	5768	203	51070	21178	5.81235e+01	5.32968e+01	8.82850e+01	2.36639e+01	62581	2.41146e+00	2.03526e+00	8.81068e-01
