Sample	callRate	nCalled	nNotCalled	nHomRef	nHet	nHomVar	nSNP	nInsertion	nDeletion	nSingleton	nTransition	nTransversion	dpMean	dpStDev	gqMean	gqStDev	nNonRef	rTiTv	rHetHomVar	rInsertionDeletion
MCOP033	9.62607e-01	916403	35598	861987	34386	20030	67671	3112	3597	322	48357	19314	3.48336e+01	2.81036e+01	7.40214e+01	3.20076e+01	54416	2.50373e+00	1.71672e+00	8.65165e-01
MAAC040	9.68091e-01	921624	30377	864538	36812	20274	68735	4089	4463	382	48768	19967	3.09750e+01	2.37671e+01	6.95155e+01	3.29071e+01	57086	2.44243e+00	1.81572e+00	9.16200e-01
MCOP085	9.65696e-01	919344	32657	863568	35652	20124	68883	3217	3738	354	49049	19834	3.27547e+01	2.45763e+01	7.14964e+01	3.22962e+01	55776	2.47298e+00	1.77162e+00	8.60621e-01
MCOP037	9.68428e-01	921944	30057	865750	36393	19801	68626	3419	3893	379	48831	19795	3.69782e+01	2.78815e+01	7.62288e+01	3.08972e+01	56194	2.46684e+00	1.83794e+00	8.78243e-01
MCOP044	9.61555e-01	915401	36600	862125	30384	22892	69241	3233	3629	817	49352	19889	3.13609e+01	2.41689e+01	6.97876e+01	3.27542e+01	53276	2.48137e+00	1.32728e+00	8.90879e-01
MBEL062	9.69546e-01	923009	28992	866339	36324	20346	69571	3486	3891	93	49392	20179	4.47214e+01	4.28570e+01	8.11449e+01	2.94378e+01	56670	2.44769e+00	1.78531e+00	8.95914e-01
MBEL086	9.68755e-01	922256	29745	865525	36514	20217	68515	4087	4294	348	48768	19747	3.07885e+01	2.27150e+01	6.94230e+01	3.28398e+01	56731	2.46964e+00	1.80610e+00	9.51793e-01
MTEH019	9.69603e-01	923063	28938	865641	36108	21314	69748	4268	4669	731	49535	20213	3.12931e+01	2.33812e+01	7.00612e+01	3.26546e+01	57422	2.45065e+00	1.69410e+00	9.14114e-01
MCOP097	9.62169e-01	915986	36015	860873	34913	20200	68447	3229	3586	346	48850	19597	3.22958e+01	2.42006e+01	7.10554e+01	3.24844e+01	55113	2.49273e+00	1.72837e+00	9.00446e-01
MCOP014	9.59941e-01	913865	38136	859119	34809	19937	68005	3168	3458	291	48625	19380	3.30057e+01	2.40548e+01	7.18570e+01	3.27109e+01	54746	2.50903e+00	1.74595e+00	9.16136e-01
MBIL010	9.82346e-01	935194	16807	873797	40257	21140	71620	5237	5598	299	50690	20930	5.68805e+01	5.29098e+01	8.58796e+01	2.57467e+01	61397	2.42188e+00	1.90430e+00	9.35513e-01
MAAC065	9.83166e-01	935975	16026	874727	40381	20867	71833	4843	5359	723	50989	20844	5.19285e+01	4.84960e+01	8.32414e+01	2.76891e+01	61248	2.44622e+00	1.93516e+00	9.03713e-01
MBEL116	9.76858e-01	929970	22031	870570	38959	20441	70334	4489	4968	393	50055	20279	3.68628e+01	2.99018e+01	7.57791e+01	3.08542e+01	59400	2.46832e+00	1.90592e+00	9.03583e-01
MBEL073	9.47121e-01	901660	50341	848790	33083	19787	66492	2903	3200	23	47551	18941	2.81430e+01	1.99698e+01	6.66618e+01	3.44367e+01	52870	2.51048e+00	1.67196e+00	9.07188e-01
MKHA013	9.87787e-01	940374	11627	877506	41976	20892	72771	5233	5671	408	51279	21492	5.00709e+01	4.26568e+01	8.66426e+01	2.44964e+01	62868	2.38596e+00	2.00919e+00	9.22765e-01
MCOP123	9.81649e-01	934531	17470	873107	40850	20574	71243	5098	5569	318	50381	20862	5.50092e+01	5.17905e+01	8.53136e+01	2.60564e+01	61424	2.41497e+00	1.98552e+00	9.15425e-01
MCOP104	9.57994e-01	912011	39990	857797	34098	20116	68010	3055	3202	297	48493	19517	3.33738e+01	2.63292e+01	7.14135e+01	3.31211e+01	54214	2.48465e+00	1.69507e+00	9.54091e-01
MTUB002	9.84351e-01	937103	14898	874818	41377	20908	72418	5174	5523	431	51150	21268	6.94029e+01	7.04782e+01	8.83605e+01	2.41206e+01	62285	2.40502e+00	1.97900e+00	9.36810e-01
MZAG002	9.64905e-01	918591	33410	862986	35300	20305	68903	3362	3571	436	49101	19802	3.66530e+01	3.02327e+01	7.44701e+01	3.21210e+01	55605	2.47960e+00	1.73849e+00	9.41473e-01
MCOP086	9.63705e-01	917448	34553	863573	33681	20194	67469	3027	3522	329	47908	19561	3.20807e+01	2.42258e+01	7.06095e+01	3.26177e+01	53875	2.44916e+00	1.66787e+00	8.59455e-01
MBRU016	9.80387e-01	933329	18672	872423	40572	20334	70556	5158	5427	379	50047	20509	4.66882e+01	4.18330e+01	8.21561e+01	2.77873e+01	60906	2.44025e+00	1.99528e+00	9.50433e-01
MZAG007	9.66069e-01	919699	32302	863469	36193	20037	69011	3362	3833	416	49059	19952	3.82571e+01	3.15238e+01	7.81130e+01	3.08760e+01	56230	2.45885e+00	1.80631e+00	8.77120e-01
MGAL002	9.83342e-01	936143	15858	874968	39915	21260	71813	5134	5405	308	50889	20924	7.22306e+01	6.78681e+01	8.92541e+01	2.36521e+01	61175	2.43209e+00	1.87747e+00	9.49861e-01
MWAR055	9.89019e-01	941547	10454	879309	41050	21188	72457	5114	5766	384	51187	21270	7.36960e+01	6.86302e+01	9.04387e+01	2.20456e+01	62238	2.40654e+00	1.93742e+00	8.86923e-01
MCOP145	9.80354e-01	933298	18703	870151	41973	21174	73278	5137	5804	724	51819	21459	6.56628e+01	6.75289e+01	8.80963e+01	2.43517e+01	63147	2.41479e+00	1.98229e+00	8.85079e-01
MCOP074	9.62656e-01	916449	35552	861618	34102	20729	68556	3289	3654	359	48822	19734	3.43220e+01	2.63627e+01	7.29417e+01	3.23985e+01	54831	2.47400e+00	1.64513e+00	9.00109e-01
MAAC039	9.71318e-01	924696	27305	867819	35921	20956	69134	4172	4463	315	48990	20144	3.27693e+01	2.55292e+01	7.14293e+01	3.25850e+01	56877	2.43199e+00	1.71412e+00	9.34797e-01
MCOP017	9.60409e-01	914310	37691	854883	39611	19816	72228	3304	3669	1182	51649	20579	3.61082e+01	2.89097e+01	7.45818e+01	3.22426e+01	59427	2.50979e+00	1.99894e+00	9.00518e-01
MWAR020	9.68478e-01	921992	30009	864270	37375	20347	69035	4219	4756	332	49092	19943	3.26568e+01	2.31831e+01	7.23381e+01	3.20505e+01	57722	2.46162e+00	1.83688e+00	8.87090e-01
MKIE001	9.87655e-01	940249	11752	878510	41159	20580	71719	5014	5495	383	50639	21080	5.80748e+01	5.36976e+01	8.57505e+01	2.56289e+01	61739	2.40223e+00	1.99995e+00	9.12466e-01
MTEH004	9.64959e-01	918642	33359	863704	32939	21999	68672	3994	4205	603	48956	19716	3.36985e+01	2.69356e+01	7.23088e+01	3.33436e+01	54938	2.48306e+00	1.49730e+00	9.49822e-01
MANT016	9.83271e-01	936075	15926	874999	40161	20915	71664	4983	5243	367	50829	20835	6.58651e+01	6.16744e+01	8.80802e+01	2.45899e+01	61076	2.43960e+00	1.92020e+00	9.50410e-01
MSAN049	9.85769e-01	938453	13548	875846	41738	20869	72480	5236	5675	263	51127	21353	5.08960e+01	4.20699e+01	8.41532e+01	2.66519e+01	62607	2.39437e+00	2.00000e+00	9.22643e-01
MESP056	9.86153e-01	938819	13182	876068	42090	20661	72446	5287	5601	532	51244	21202	5.63766e+01	5.13419e+01	8.52479e+01	2.61023e+01	62751	2.41694e+00	2.03717e+00	9.43939e-01
MCOP133	9.80958e-01	933873	18128	872554	40815	20504	71115	5145	5474	339	50266	20849	5.22135e+01	5.02764e+01	8.40517e+01	2.68380e+01	61319	2.41095e+00	1.99059e+00	9.39898e-01
MBEL009	9.61571e-01	915417	36584	860037	35144	20236	68642	3245	3680	20	48959	19683	3.55505e+01	2.88901e+01	7.59168e+01	3.17887e+01	55380	2.48737e+00	1.73671e+00	8.81793e-01
MCOP026	9.62529e-01	916329	35672	861396	34781	20152	68193	3192	3646	293	48695	19498	3.38232e+01	2.70174e+01	7.27179e+01	3.22094e+01	54933	2.49744e+00	1.72593e+00	8.75480e-01
MPAU009	9.65889e-01	919527	32474	864459	34595	20473	68575	3227	3674	414	48876	19699	3.28882e+01	2.48611e+01	7.08338e+01	3.26930e+01	55068	2.48114e+00	1.68979e+00	8.78334e-01
MAAC023	9.67674e-01	921227	30774	864936	35977	20314	68126	3996	4432	359	48448	19678	3.19823e+01	2.43663e+01	7.03692e+01	3.30815e+01	56291	2.46204e+00	1.77104e+00	9.01625e-01
MBEL035	9.70074e-01	923511	28490	866248	37079	20184	69875	3482	4034	406	49847	20028	3.97916e+01	3.11329e+01	7.97740e+01	2.99305e+01	57263	2.48887e+00	1.83705e+00	8.63163e-01
MCAI047	9.86341e-01	938998	13003	876211	38562	24225	75873	5235	5794	958	53556	22317	4.82379e+01	4.44752e+01	8.39206e+01	2.64405e+01	62787	2.39978e+00	1.59183e+00	9.03521e-01
MWAR011	9.81258e-01	934159	17842	874972	37721	21466	70741	4661	5176	321	50148	20593	4.93339e+01	4.62307e+01	8.16728e+01	2.86340e+01	59187	2.43520e+00	1.75724e+00	9.00502e-01
MPRA002	9.71325e-01	924702	27299	866760	37186	20756	69915	4172	4546	357	49715	20200	3.47259e+01	2.68986e+01	7.36674e+01	3.18143e+01	57942	2.46114e+00	1.79158e+00	9.17730e-01
MUCH013	9.72412e-01	925737	26264	867994	36754	20989	69883	4212	4578	411	49677	20206	3.51707e+01	2.73885e+01	7.38775e+01	3.19002e+01	57743	2.45853e+00	1.75111e+00	9.20052e-01
MAAC019	9.70289e-01	923716	28285	865825	37402	20489	69369	4255	4691	359	49335	20034	3.86968e+01	3.13249e+01	7.84332e+01	3.02858e+01	57891	2.46256e+00	1.82547e+00	9.07056e-01
MBEL038	9.65560e-01	919214	32787	863497	35753	19964	68469	3359	3804	372	48746	19723	3.59686e+01	2.74195e+01	7.62658e+01	3.14782e+01	55717	2.47153e+00	1.79087e+00	8.83018e-01
MBEL089	9.75534e-01	928709	23292	870252	38303	20154	69424	4324	4802	359	49179	20245	3.60036e+01	2.82712e+01	7.50639e+01	3.12463e+01	58457	2.42919e+00	1.90052e+00	9.00458e-01
MIST027	9.86104e-01	938772	13229	876010	40622	22140	73839	5217	5739	615	52191	21648	5.63878e+01	5.01609e+01	8.50818e+01	2.62327e+01	62762	2.41089e+00	1.83478e+00	9.09043e-01
MCOP063	9.58908e-01	912881	39120	859243	33591	20047	67281	3083	3271	331	47989	19292	3.18509e+01	2.40713e+01	6.99953e+01	3.31090e+01	53638	2.48751e+00	1.67561e+00	9.42525e-01
MAAC062	9.73145e-01	926435	25566	867914	38170	20351	69668	4296	4845	407	49347	20321	3.42420e+01	2.51066e+01	7.42593e+01	3.12143e+01	58521	2.42837e+00	1.87558e+00	8.86687e-01
MCOP108	9.82592e-01	935429	16572	874457	40229	20743	71214	5053	5374	347	50455	20759	6.60145e+01	6.11732e+01	8.82342e+01	2.44101e+01	60972	2.43051e+00	1.93940e+00	9.40268e-01
MBRU031	9.88610e-01	941158	10843	877467	42983	20708	73111	5492	5693	450	51530	21581	6.77681e+01	6.48097e+01	8.80560e+01	2.39625e+01	63691	2.38775e+00	2.07567e+00	9.64693e-01
MGHE029	9.87904e-01	940486	11515	878131	41238	21117	72619	5079	5691	386	51302	21317	7.81978e+01	7.50670e+01	9.03324e+01	2.23008e+01	62355	2.40662e+00	1.95283e+00	8.92462e-01
MZUR005	9.70241e-01	923670	28331	866646	36958	20066	69407	3504	4123	471	49303	20104	3.96045e+01	3.21045e+01	7.93177e+01	3.02810e+01	57024	2.45240e+00	1.84182e+00	8.49867e-01
MAAC028	9.72033e-01	925376	26625	867984	36782	20610	68966	4252	4729	365	48802	20164	3.58900e+01	2.74548e+01	7.60087e+01	3.09627e+01	57392	2.42025e+00	1.78467e+00	8.99133e-01
MTEH002	9.60806e-01	914688	37313	859712	34262	20714	68777	3235	3617	678	49166	19611	3.18907e+01	2.45212e+01	7.10019e+01	3.29221e+01	54976	2.50706e+00	1.65405e+00	8.94388e-01
MKHA002	9.81122e-01	934029	17972	873545	39586	20898	71342	4772	5190	402	50552	20790	4.45632e+01	3.69122e+01	8.08286e+01	2.86241e+01	60484	2.43155e+00	1.89425e+00	9.19461e-01
MCOP029	9.63096e-01	916868	35133	861488	34647	20733	69011	3284	3773	332	49162	19849	3.60376e+01	2.79046e+01	7.51561e+01	3.16351e+01	55380	2.47680e+00	1.67110e+00	8.70395e-01
MAAC043	9.73153e-01	926443	25558	867881	37827	20735	70220	4329	4684	689	49923	20297	3.87213e+01	3.43542e+01	7.67628e+01	3.12727e+01	58562	2.45962e+00	1.82431e+00	9.24210e-01
MPOR009	9.86598e-01	939242	12759	876841	41922	20479	71844	5210	5741	474	50731	21113	5.20918e+01	4.39971e+01	8.75011e+01	2.41610e+01	62401	2.40283e+00	2.04707e+00	9.07507e-01
MWAR097	9.88227e-01	940793	11208	878199	41541	21053	72733	5099	5703	371	51589	21144	6.54728e+01	5.77270e+01	8.88854e+01	2.34522e+01	62594	2.43989e+00	1.97316e+00	8.94091e-01
MUCH014	9.82587e-01	935424	16577	875206	39773	20445	70925	4624	5047	423	50353	20572	5.35400e+01	5.43717e+01	8.17841e+01	2.89403e+01	60218	2.44765e+00	1.94537e+00	9.16188e-01
MWAR092	9.87327e-01	939936	12065	877705	41801	20430	71870	5070	5630	387	50934	20936	5.86859e+01	5.15912e+01	8.65369e+01	2.51965e+01	62231	2.43284e+00	2.04606e+00	9.00533e-01
MCAI006	9.85520e-01	938216	13785	871442	46184	20590	76233	5384	5662	838	53790	22443	8.09172e+01	7.92111e+01	9.02551e+01	2.26225e+01	66774	2.39674e+00	2.24303e+00	9.50901e-01
MPRA004	9.68511e-01	922023	29978	865664	35570	20789	69652	3473	3938	389	49521	20131	3.80819e+01	2.78986e+01	7.81228e+01	3.04186e+01	56359	2.45994e+00	1.71100e+00	8.81920e-01
MESP049	9.85828e-01	938509	13492	874911	42968	20630	73250	5181	5706	281	51599	21651	5.45716e+01	5.10770e+01	8.46230e+01	2.64688e+01	63598	2.38322e+00	2.08279e+00	9.07992e-01
MWAR018	9.76623e-01	929746	22255	871653	38003	20090	68719	4434	4963	342	48778	19941	4.94334e+01	4.62958e+01	8.33005e+01	2.81518e+01	58093	2.44612e+00	1.89164e+00	8.93411e-01
MAAC012	9.76290e-01	929429	22572	870419	38223	20787	70399	4440	4901	396	50098	20301	3.74263e+01	2.96268e+01	7.66768e+01	3.06128e+01	59010	2.46776e+00	1.83879e+00	9.05938e-01
MNAN002	9.62762e-01	916550	35451	861681	34582	20287	68239	3273	3582	479	48688	19551	3.17027e+01	2.28349e+01	7.04330e+01	3.28383e+01	54869	2.49031e+00	1.70464e+00	9.13735e-01
MCOP010	9.66055e-01	919685	32316	864817	33502	21366	68994	3431	3755	333	49150	19844	3.76297e+01	3.05929e+01	7.62313e+01	3.14516e+01	54868	2.47682e+00	1.56801e+00	9.13715e-01
MVAL006	9.65397e-01	919059	32942	862979	35799	20281	69039	3399	3868	489	49144	19895	3.11034e+01	2.15687e+01	7.04210e+01	3.21579e+01	56080	2.47017e+00	1.76515e+00	8.78749e-01
MESP020	9.76577e-01	929702	22299	870170	39459	20073	70138	4497	4896	439	49954	20184	3.75454e+01	3.03003e+01	7.68367e+01	3.03297e+01	59532	2.47493e+00	1.96577e+00	9.18505e-01
MPAU004	9.67000e-01	920585	31416	864689	34964	20932	69733	3275	3766	485	49506	20227	3.78239e+01	3.03745e+01	7.65016e+01	3.10200e+01	55896	2.44752e+00	1.67036e+00	8.69623e-01
MCOP053	9.74542e-01	927765	24236	870059	37304	20402	69233	4140	4673	333	48961	20272	4.80148e+01	4.65343e+01	8.25099e+01	2.88379e+01	57706	2.41520e+00	1.82845e+00	8.85941e-01
MBEL028	9.64992e-01	918673	33328	863264	34926	20483	68666	3389	3781	220	48974	19692	3.55806e+01	2.81374e+01	7.59636e+01	3.13378e+01	55409	2.48700e+00	1.70512e+00	8.96324e-01
MSAN020	9.75938e-01	929094	22907	871320	37070	20704	69080	4474	4849	204	49084	19996	3.85340e+01	2.99903e+01	7.78304e+01	3.01786e+01	57774	2.45469e+00	1.79048e+00	9.22664e-01
MTOR002	9.67582e-01	921139	30862	864246	36771	20122	69687	3414	3857	531	49704	19983	4.01224e+01	3.35599e+01	7.80666e+01	3.06524e+01	56893	2.48731e+00	1.82740e+00	8.85144e-01
MCAI028	9.87943e-01	940523	11478	876944	41760	21819	74117	5307	5877	1068	52382	21735	5.87909e+01	5.73695e+01	8.78858e+01	2.39964e+01	63579	2.41003e+00	1.91393e+00	9.03012e-01
MESS010_2	9.87040e-01	939663	12338	877359	41190	21114	72454	5181	5672	381	51174	21280	5.38428e+01	4.75292e+01	8.47514e+01	2.61867e+01	62304	2.40479e+00	1.95084e+00	9.13434e-01
MBEL101	9.75684e-01	928852	23149	870032	38860	19960	69528	4375	4833	346	49478	20050	3.92906e+01	3.17252e+01	7.77863e+01	3.04170e+01	58820	2.46773e+00	1.94689e+00	9.05235e-01
MBEL042	9.62633e-01	916428	35573	861523	34759	20146	68250	3190	3557	331	48640	19610	3.61234e+01	2.98434e+01	7.58453e+01	3.19290e+01	54905	2.48037e+00	1.72535e+00	8.96823e-01
MPAU024	9.69628e-01	923087	28914	867058	35819	20210	68822	3376	3964	495	48939	19883	3.92625e+01	3.26217e+01	7.73391e+01	3.08829e+01	56029	2.46135e+00	1.77234e+00	8.51665e-01
MCOP090	9.59313e-01	913267	38734	859254	33493	20520	67911	3115	3441	318	48414	19497	3.40072e+01	2.71117e+01	7.22120e+01	3.29962e+01	54013	2.48315e+00	1.63221e+00	9.05260e-01
MWAR029	9.81360e-01	934256	17745	873253	40051	20952	71341	4848	5696	349	50483	20858	6.07288e+01	5.56622e+01	8.97228e+01	2.28818e+01	61003	2.42032e+00	1.91156e+00	8.51124e-01
MPAU015	9.66157e-01	919782	32219	865023	33516	21243	68865	3337	3737	419	49035	19830	3.69748e+01	2.98813e+01	7.50909e+01	3.18309e+01	54759	2.47277e+00	1.57774e+00	8.92962e-01
MVAL031	9.87602e-01	940198	11803	877080	41733	21385	73487	5228	5716	438	51991	21496	5.04774e+01	4.59334e+01	8.59513e+01	2.51344e+01	63118	2.41864e+00	1.95151e+00	9.14626e-01
MAAC032	9.73732e-01	926994	25007	869603	37627	19764	68143	4231	4722	380	48373	19770	3.69223e+01	2.81910e+01	7.68697e+01	3.07241e+01	57391	2.44679e+00	1.90382e+00	8.96019e-01
MTEH035	9.88016e-01	940592	11409	877452	42105	21035	73229	5185	5672	717	51723	21506	6.25071e+01	5.79636e+01	8.79763e+01	2.40846e+01	63140	2.40505e+00	2.00166e+00	9.14140e-01
MUCH003	9.78064e-01	931118	20883	870754	40209	20155	70694	4554	5207	455	50167	20527	5.92340e+01	6.08266e+01	8.76423e+01	2.49895e+01	60364	2.44395e+00	1.99499e+00	8.74592e-01
MPAM007	9.81817e-01	934691	17310	872819	41411	20461	71688	5040	5523	349	50735	20953	4.90215e+01	4.36634e+01	8.34194e+01	2.70475e+01	61872	2.42137e+00	2.02390e+00	9.12548e-01
MWAR125	9.88558e-01	941108	10893	878459	41397	21252	72614	5481	5711	377	51006	21608	5.89242e+01	5.17967e+01	8.75007e+01	2.42338e+01	62649	2.36051e+00	1.94791e+00	9.59727e-01
MGLA013	9.86480e-01	939130	12871	876931	41279	20920	72093	5138	5776	413	50862	21231	4.84239e+01	4.47831e+01	8.51268e+01	2.55910e+01	62199	2.39565e+00	1.97318e+00	8.89543e-01
MBEL053	9.58529e-01	912521	39480	858593	33828	20100	67642	3087	3255	202	48315	19327	2.77050e+01	1.96180e+01	6.30279e+01	3.40720e+01	53928	2.49987e+00	1.68299e+00	9.48387e-01
MUCH020	9.87708e-01	940299	11702	878241	40956	21102	72047	5227	5780	442	50954	21093	5.07157e+01	4.42534e+01	8.62691e+01	2.49136e+01	62058	2.41568e+00	1.94086e+00	9.04325e-01
MBEL021	9.61307e-01	915165	36836	860045	34469	20651	68866	3277	3589	421	49080	19786	3.33820e+01	2.56600e+01	7.35090e+01	3.24206e+01	55120	2.48054e+00	1.66912e+00	9.13068e-01
MKHA010	9.86632e-01	939275	12726	876863	41687	20725	72279	5039	5730	204	51084	21195	5.24167e+01	4.61199e+01	8.67777e+01	2.47255e+01	62412	2.41019e+00	2.01144e+00	8.79407e-01
MPAU026	9.62536e-01	916335	35666	860910	34760	20665	69087	3258	3687	375	49163	19924	3.62465e+01	2.89342e+01	7.49742e+01	3.18097e+01	55425	2.46753e+00	1.68207e+00	8.83645e-01
MSAN001	9.60483e-01	914381	37620	859244	34722	20415	68773	3160	3568	369	49047	19726	3.65060e+01	3.02675e+01	7.62716e+01	3.19088e+01	55137	2.48641e+00	1.70081e+00	8.85650e-01
MMAD002	9.82426e-01	935271	16730	873895	40534	20842	71642	5028	5466	566	50686	20956	6.70678e+01	5.99724e+01	8.86275e+01	2.41108e+01	61376	2.41869e+00	1.94482e+00	9.19868e-01
MTEH008	9.72988e-01	926286	25715	868941	35723	21622	69841	4250	4819	663	49639	20202	3.61990e+01	2.91089e+01	7.47877e+01	3.20138e+01	57345	2.45713e+00	1.65216e+00	8.81926e-01
MCAI003	9.82349e-01	935197	16804	870719	44098	20380	74225	5076	5477	1291	52697	21528	6.19016e+01	5.69222e+01	8.67729e+01	2.55165e+01	64478	2.44784e+00	2.16379e+00	9.26785e-01
MBEL031	9.62908e-01	916689	35312	861042	34837	20810	69472	3269	3662	358	49526	19946	3.42742e+01	2.70216e+01	7.43647e+01	3.20961e+01	55647	2.48300e+00	1.67405e+00	8.92682e-01
MTEH037	9.88236e-01	940802	11199	877974	41904	20924	72860	5193	5613	749	51584	21276	6.13914e+01	5.33896e+01	8.79622e+01	2.41045e+01	62828	2.42452e+00	2.00268e+00	9.25174e-01
MWAR003	9.81602e-01	934486	17515	875055	38690	20741	70270	4641	5162	340	49873	20397	4.79123e+01	4.53084e+01	8.09164e+01	2.90755e+01	59431	2.44511e+00	1.86539e+00	8.99070e-01
MBEL050	9.67359e-01	920927	31074	864237	35711	20979	70175	3447	3985	353	49936	20239	3.84733e+01	3.12376e+01	7.84554e+01	3.06002e+01	56690	2.46732e+00	1.70223e+00	8.64994e-01
MBEL079	9.59790e-01	913721	38280	858411	34597	20713	69200	3193	3585	34	49250	19950	3.17901e+01	2.45665e+01	7.13948e+01	3.34081e+01	55310	2.46867e+00	1.67030e+00	8.90656e-01
MSAN026	9.76501e-01	929630	22371	870994	37438	21198	70393	4474	4914	253	50048	20345	3.77533e+01	3.05238e+01	7.70274e+01	3.03143e+01	58636	2.45997e+00	1.76611e+00	9.10460e-01
