Sample	callRate	nCalled	nNotCalled	nHomRef	nHet	nHomVar	nSNP	nInsertion	nDeletion	nSingleton	nTransition	nTransversion	dpMean	dpStDev	gqMean	gqStDev	nNonRef	rTiTv	rHetHomVar	rInsertionDeletion
10C_LH_1	8.98146e-01	419180	47537	371332	31085	16763	58449	2753	3409	133	41823	16626	3.77504e+01	3.58410e+01	6.62622e+01	2.90079e+01	47848	2.51552e+00	1.85438e+00	8.07568e-01
71R_CS_1	8.92106e-01	416361	50356	368971	30642	16748	57779	2859	3500	226	41661	16118	3.23875e+01	3.12323e+01	6.17388e+01	2.81085e+01	47390	2.58475e+00	1.82959e+00	8.16857e-01
369BY_RP_1	9.87440e-01	460855	5862	401407	37824	21624	71969	4104	4999	602	51255	20714	4.74374e+01	4.44378e+01	7.22771e+01	2.57905e+01	59448	2.47441e+00	1.74917e+00	8.20964e-01
9C_DH_1	8.96552e-01	418436	48281	370640	30291	17505	59093	2860	3348	257	42222	16871	3.86160e+01	3.71840e+01	6.66697e+01	2.89203e+01	47796	2.50264e+00	1.73042e+00	8.54241e-01
294EV_KH_1	9.76847e-01	455911	10806	400428	35444	20039	66965	3966	4591	59	48021	18944	2.86532e+01	2.61269e+01	5.85831e+01	2.78953e+01	55483	2.53489e+00	1.76875e+00	8.63864e-01
342FX_ZR_1	9.77535e-01	456232	10485	401418	35151	19663	66862	3511	4104	609	47699	19163	2.87576e+01	2.51532e+01	5.86316e+01	2.81558e+01	54814	2.48912e+00	1.78767e+00	8.55507e-01
314FD_GF_1	9.80134e-01	457445	9272	400794	32941	23710	71268	4230	4863	106	50957	20311	3.11741e+01	2.70917e+01	6.17832e+01	2.71800e+01	56651	2.50884e+00	1.38933e+00	8.69833e-01
121BD_GW_1	8.93563e-01	417041	49676	371239	29634	16168	55975	2764	3231	229	40278	15697	3.17370e+01	2.97435e+01	6.11753e+01	2.82207e+01	45802	2.56597e+00	1.83288e+00	8.55463e-01
354HJ_ES_1	9.88222e-01	461220	5497	401984	39346	19890	69399	4183	5544	722	49177	20222	6.09081e+01	5.83160e+01	7.78219e+01	2.43235e+01	59236	2.43186e+00	1.97818e+00	7.54509e-01
302EX_MD_1	9.21055e-01	429872	36845	377148	33957	18767	63256	3701	4534	307	45409	17847	2.95464e+01	2.78300e+01	5.85329e+01	2.87307e+01	52724	2.54435e+00	1.80940e+00	8.16277e-01
