Sample	callRate	nCalled	nNotCalled	nHomRef	nHet	nHomVar	nSNP	nInsertion	nDeletion	nSingleton	nTransition	nTransversion	dpMean	dpStDev	gqMean	gqStDev	nNonRef	rTiTv	rHetHomVar	rInsertionDeletion
796NIH	9.80863e-01	34305799	669327	29409655	3201359	1694785	5406050	557336	627543	2838	3604433	1801617	3.04644e+01	5.16711e+01	7.24407e+01	3.20897e+01	4896144	2.00067e+00	1.88895e+00	8.88124e-01
1460NIH	9.80161e-01	34281247	693879	29384442	3139752	1757053	5447411	574503	631943	13251	3640438	1806973	3.00347e+01	4.08896e+01	7.21828e+01	3.18759e+01	4896805	2.01466e+00	1.78694e+00	9.09106e-01
767NIH	9.83436e-01	34395804	579322	29460255	3181327	1754222	5429783	607127	652860	18002	3617568	1812215	3.81293e+01	4.21530e+01	8.13203e+01	3.10577e+01	4935549	1.99621e+00	1.81353e+00	9.29950e-01
1803NIH	9.78288e-01	34215747	759379	29347513	3160010	1708224	5384772	562298	629387	37810	3596335	1788437	2.95407e+01	3.85035e+01	7.24474e+01	3.20970e+01	4868234	2.01088e+00	1.84988e+00	8.93406e-01
1447NIH	9.86871e-01	34515938	459188	29516526	3130104	1869308	5514792	661489	692438	4256	3661710	1853082	4.95879e+01	4.72542e+01	8.56852e+01	2.89757e+01	4999412	1.97601e+00	1.67447e+00	9.55304e-01
1503NIH	9.81018e-01	34311240	663886	29297330	3270972	1742938	5493181	602262	661403	3386	3650365	1842816	2.93539e+01	4.03751e+01	7.15484e+01	3.18908e+01	5013910	1.98086e+00	1.87670e+00	9.10583e-01
218NIH	9.78641e-01	34228081	747045	29409212	3107409	1711460	5373402	554516	602410	4191	3590644	1782758	2.89528e+01	3.82452e+01	7.11590e+01	3.17775e+01	4818869	2.01410e+00	1.81565e+00	9.20496e-01
1524NIH	9.81966e-01	34344376	630750	29307316	3326652	1710408	5486092	605455	655918	27323	3648598	1837494	3.43389e+01	4.26555e+01	7.75684e+01	3.23814e+01	5037060	1.98564e+00	1.94495e+00	9.23065e-01
1836NIH	9.81772e-01	34337612	637514	29248505	3409872	1679235	5491115	597433	679794	4548	3659269	1831846	3.07694e+01	5.00653e+01	7.19292e+01	3.24951e+01	5089107	1.99759e+00	2.03061e+00	8.78844e-01
1479NIH	9.87950e-01	34553685	421441	29484282	3207474	1861929	5547843	680626	702862	4708	3680353	1867490	5.84051e+01	5.33290e+01	8.76074e+01	2.75308e+01	5069403	1.97075e+00	1.72266e+00	9.68364e-01
654NIH	9.88683e-01	34579320	395806	29472157	3378852	1728311	5467897	675981	691596	5132	3624900	1842997	6.34236e+01	5.57973e+01	8.79502e+01	2.73021e+01	5107163	1.96685e+00	1.95500e+00	9.77422e-01
1500NIH	9.87091e-01	34523622	451504	29374198	3422201	1727223	5515665	658440	702541	3586	3665430	1850235	4.94103e+01	5.08787e+01	8.59344e+01	2.88719e+01	5149424	1.98106e+00	1.98133e+00	9.37226e-01
1828NIH	9.83191e-01	34387215	587911	29403577	3245563	1738075	5479815	589939	651959	2649	3649420	1830395	3.30779e+01	5.40907e+01	7.63170e+01	3.21003e+01	4983638	1.99379e+00	1.86733e+00	9.04871e-01
398NIH	9.86923e-01	34517769	457357	29431071	3344419	1742279	5472546	663707	692722	3738	3638137	1834409	4.87811e+01	5.17772e+01	8.56356e+01	2.88757e+01	5086698	1.98327e+00	1.91957e+00	9.58115e-01
229NIH	9.75946e-01	34133825	841301	29418251	2967204	1748370	5389126	510369	564449	2635	3601425	1787701	2.93131e+01	5.14235e+01	6.93632e+01	3.32164e+01	4715574	2.01456e+00	1.69713e+00	9.04190e-01
2421NIH	9.82508e-01	34363349	611777	29395582	3217322	1750445	5463789	592738	661683	12225	3639116	1824673	3.46914e+01	5.79154e+01	7.74244e+01	3.19451e+01	4967767	1.99439e+00	1.83800e+00	8.95804e-01
1779NIH	9.85497e-01	34467872	507254	29418117	3354983	1694772	5469901	606753	667871	46801	3648084	1821817	3.95846e+01	5.44925e+01	8.22952e+01	3.08760e+01	5049755	2.00244e+00	1.97961e+00	9.08488e-01
1246NIH	9.79950e-01	34273866	701260	29479399	2930310	1864157	5463216	565794	629614	10468	3650639	1812577	3.06586e+01	4.91233e+01	7.28158e+01	3.21621e+01	4794467	2.01406e+00	1.57192e+00	8.98636e-01
1595NIH	9.86579e-01	34505716	469410	29426810	3321908	1756998	5500563	650175	685166	27086	3657554	1843009	5.26151e+01	5.30576e+01	8.58704e+01	2.89248e+01	5078906	1.98456e+00	1.89067e+00	9.48931e-01
757NIH	9.87737e-01	34546219	428907	29336970	3484628	1724621	5540428	677321	716121	5547	3677293	1863135	4.89803e+01	4.81212e+01	8.62379e+01	2.83756e+01	5209249	1.97371e+00	2.02052e+00	9.45819e-01
177NIH	9.82507e-01	34363299	611827	29081635	3619496	1662168	5662150	608301	673381	28694	3763333	1898817	3.16340e+01	4.83566e+01	7.46601e+01	3.20577e+01	5281664	1.98194e+00	2.17758e+00	9.03353e-01
1681NIH	9.80585e-01	34296079	679047	29401309	3188632	1706138	5420286	562632	617990	25734	3620347	1799939	2.93161e+01	5.31929e+01	6.98753e+01	3.21658e+01	4894770	2.01137e+00	1.86892e+00	9.10422e-01
664NIH	9.80154e-01	34281022	694104	29400198	3189320	1691504	5405806	549067	617454	2252	3609522	1796284	3.19959e+01	5.16026e+01	7.48962e+01	3.22039e+01	4880824	2.00944e+00	1.88549e+00	8.89244e-01
1781NIH	9.87689e-01	34544541	430585	29535541	3146819	1862181	5509575	672459	689147	3765	3661385	1848190	5.99042e+01	5.31650e+01	8.78094e+01	2.74221e+01	5009000	1.98107e+00	1.68986e+00	9.75785e-01
2615NIH	9.81204e-01	34317742	657384	29467744	3127490	1722508	5405402	554794	612310	44823	3608704	1796698	3.15688e+01	5.11958e+01	7.38731e+01	3.22145e+01	4849998	2.00852e+00	1.81566e+00	9.06067e-01
