Sample	callRate	nCalled	nNotCalled	nHomRef	nHet	nHomVar	nSNP	nInsertion	nDeletion	nSingleton	nTransition	nTransversion	dpMean	dpStDev	gqMean	gqStDev	nNonRef	rTiTv	rHetHomVar	rInsertionDeletion
1633NIH	9.83601e-01	34401555	573571	29428098	3298481	1674976	5437979	573665	636788	29658	3623530	1814449	3.50234e+01	5.53834e+01	7.80026e+01	3.19621e+01	4973457	1.99704e+00	1.96927e+00	9.00873e-01
2408NIH	9.82678e-01	34369273	605853	29419730	3178883	1770660	5448766	600796	670638	11059	3628695	1820071	3.31951e+01	4.15423e+01	7.64658e+01	3.22745e+01	4949543	1.99371e+00	1.79531e+00	8.95857e-01
662NIH	9.81379e-01	34323838	651288	29378417	3254860	1690561	5388251	588200	659528	12389	3596328	1791923	3.03835e+01	3.88159e+01	7.36254e+01	3.15221e+01	4945421	2.00697e+00	1.92531e+00	8.91850e-01
338NIH	9.86829e-01	34514467	460659	29514142	3239776	1760549	5426392	639602	694879	3172	3617204	1809188	3.66708e+01	4.16006e+01	8.10535e+01	3.07793e+01	5000325	1.99935e+00	1.84021e+00	9.20451e-01
1653NIH	9.81773e-01	34337619	637507	29432524	3164564	1740531	5428244	573718	643664	2820	3617466	1810778	3.25020e+01	5.56886e+01	7.41027e+01	3.23845e+01	4905095	1.99774e+00	1.81816e+00	8.91332e-01
1521NIH	9.85637e-01	34472790	502336	29514954	3180778	1777058	5461611	605944	667339	38202	3637093	1824518	3.98878e+01	5.55150e+01	8.19896e+01	3.13323e+01	4957836	1.99345e+00	1.78991e+00	9.08000e-01
337NIH	9.78599e-01	34226613	748513	29385201	3133896	1707516	5404928	538471	605529	6450	3611230	1793698	2.98572e+01	5.15702e+01	7.12085e+01	3.23201e+01	4841412	2.01329e+00	1.83535e+00	8.89257e-01
2621NIH	9.86238e-01	34493795	481331	29353254	3411145	1729396	5507484	647447	715006	48371	3666257	1841227	2.90533e+01	3.96479e+01	7.00001e+01	3.11706e+01	5140541	1.99120e+00	1.97245e+00	9.05513e-01
2527NIH	9.89567e-01	34610233	364893	28928069	4024035	1658129	5894226	710144	735923	178172	3916875	1977351	6.64588e+01	7.23688e+01	8.83028e+01	2.70155e+01	5682164	1.98087e+00	2.42685e+00	9.64971e-01
200NIH	9.88483e-01	34572307	402819	29488969	3335586	1747752	5473529	669762	687797	4671	3631417	1842112	5.93941e+01	5.38518e+01	8.74226e+01	2.77808e+01	5083338	1.97133e+00	1.90850e+00	9.73779e-01
1315NIH	9.79812e-01	34269037	706089	29414439	3075704	1778894	5443385	562390	627717	25236	3636314	1807071	2.95653e+01	4.74107e+01	7.18623e+01	3.17446e+01	4854598	2.01227e+00	1.72900e+00	8.95929e-01
2407NIH	9.83877e-01	34411206	563920	29439636	3261758	1709812	5462453	577614	641313	17056	3645945	1816508	3.60677e+01	5.54670e+01	7.92404e+01	3.22532e+01	4971570	2.00712e+00	1.90767e+00	9.00674e-01
1800NIH	9.81126e-01	34315005	660121	28782611	3981454	1550940	5801196	605766	676372	4895	3866997	1934199	3.05824e+01	4.97694e+01	7.22239e+01	3.22737e+01	5532394	1.99928e+00	2.56712e+00	8.95611e-01
397NIH	9.87351e-01	34532743	442383	29402508	3386633	1743602	5502106	665196	706534	4655	3651727	1850379	4.86797e+01	4.80168e+01	8.57674e+01	2.88845e+01	5130235	1.97350e+00	1.94232e+00	9.41492e-01
1445NIH	9.80561e-01	34295262	679864	29467112	3048877	1779273	5448454	560468	598499	4871	3637940	1810514	3.19137e+01	4.01766e+01	7.54212e+01	3.22045e+01	4828150	2.00934e+00	1.71355e+00	9.36456e-01
1046NIH	9.81775e-01	34337689	637437	29401810	3194598	1741281	5471596	573096	632466	9759	3651811	1819785	3.16573e+01	5.09896e+01	7.45822e+01	3.21475e+01	4935879	2.00673e+00	1.83463e+00	9.06129e-01
1287NIH	9.81068e-01	34312991	662135	29364430	3164716	1783845	5483722	597310	651373	4613	3649440	1834282	3.00319e+01	3.89045e+01	7.25198e+01	3.20334e+01	4948561	1.98957e+00	1.77410e+00	9.17001e-01
1526NIH	9.82713e-01	34370528	604598	29401526	3176964	1792038	5482425	599824	678789	50671	3653634	1828791	3.10960e+01	4.95055e+01	7.35687e+01	3.20520e+01	4969002	1.99784e+00	1.77282e+00	8.83668e-01
1590NIH	9.81229e-01	34318611	656515	29324643	3262843	1731125	5465674	592280	667138	10594	3648740	1816934	3.05411e+01	3.94574e+01	7.42227e+01	3.15736e+01	4993968	2.00819e+00	1.88481e+00	8.87792e-01
1664NIH	9.84637e-01	34437808	537318	29462130	3238338	1737340	5434440	614996	663580	13071	3617196	1817244	3.95520e+01	6.30364e+01	8.10735e+01	3.10657e+01	4975678	1.99048e+00	1.86396e+00	9.26785e-01
1238NIH	9.81165e-01	34316375	658751	29517686	2826975	1971714	5479287	605562	685554	2853	3656312	1822975	3.02964e+01	4.82678e+01	7.16693e+01	3.18243e+01	4798689	2.00568e+00	1.43377e+00	8.83318e-01
446NIH	9.87356e-01	34532887	442239	29390037	3400790	1742060	5502471	671720	710718	3955	3654112	1848359	5.00676e+01	5.06013e+01	8.64201e+01	2.83026e+01	5142850	1.97695e+00	1.95217e+00	9.45129e-01
1815NIH	9.83040e-01	34381931	593195	29460307	3159355	1762269	5435735	596176	651982	18679	3614916	1820819	3.10988e+01	4.77967e+01	7.40278e+01	3.19304e+01	4921624	1.98532e+00	1.79278e+00	9.14406e-01
759NIH	9.80975e-01	34309725	665401	29392336	3219442	1697947	5433078	561126	621132	20036	3623024	1810054	3.09388e+01	4.77953e+01	7.37776e+01	3.23483e+01	4917389	2.00161e+00	1.89608e+00	9.03393e-01
1330NIH	9.81409e-01	34324905	650221	29365260	3110089	1849556	5550503	603980	654718	19120	3700181	1850322	3.01299e+01	4.02140e+01	7.23762e+01	3.21153e+01	4959645	1.99975e+00	1.68153e+00	9.22504e-01
1829NIH	9.82745e-01	34371634	603492	29326206	3345526	1699902	5517589	581102	646637	75543	3680738	1836851	3.58135e+01	6.01427e+01	7.83510e+01	3.22342e+01	5045428	2.00383e+00	1.96807e+00	8.98653e-01
2405NIH	9.81412e-01	34325008	650118	29373513	3253975	1697520	5445626	571742	631646	2979	3632805	1812821	3.37472e+01	5.33850e+01	7.67403e+01	3.20886e+01	4951495	2.00395e+00	1.91690e+00	9.05162e-01
1758NIH	9.89999e-01	34625323	349803	29351574	3550388	1723361	5586632	708131	702346	7099	3703985	1882647	1.02333e+02	8.64277e+01	9.02664e+01	2.52810e+01	5273749	1.96743e+00	2.06015e+00	1.00824e+00
1757NIH	9.80169e-01	34281540	693586	29329564	3214781	1737195	5486232	568009	634929	14351	3662386	1823846	3.09373e+01	4.72033e+01	7.34013e+01	3.21302e+01	4951976	2.00806e+00	1.85056e+00	8.94602e-01
1652NIH	9.83320e-01	34391735	583391	29438442	3193092	1760201	5452213	607921	653358	11785	3621686	1830527	3.24894e+01	4.06050e+01	7.56048e+01	3.19487e+01	4953293	1.97849e+00	1.81405e+00	9.30456e-01
1484NIH	9.89847e-01	34620023	355103	29418128	3500322	1701573	5517825	690334	695307	5674	3666060	1851765	7.99834e+01	6.33127e+01	8.90518e+01	2.65421e+01	5201895	1.97977e+00	2.05711e+00	9.92848e-01
1419NIH	9.80980e-01	34309890	665236	29298942	3265383	1745565	5456566	607089	692855	15839	3637670	1818896	2.92734e+01	3.92859e+01	7.10067e+01	3.21803e+01	5010948	1.99993e+00	1.87067e+00	8.76214e-01
1894NIH	9.84220e-01	34423216	551910	29449006	3270748	1703462	5455336	579175	643161	36927	3632363	1822973	3.85894e+01	5.62999e+01	8.12349e+01	3.12887e+01	4974210	1.99255e+00	1.92006e+00	9.00513e-01
2605NIH	9.78728e-01	34231146	743980	29391382	3124026	1715738	5396884	553711	604907	35597	3602190	1794694	2.95112e+01	4.00680e+01	7.22380e+01	3.18496e+01	4839764	2.00713e+00	1.82081e+00	9.15366e-01
1791NIH	9.85192e-01	34457212	517914	29469892	3218718	1768602	5498777	597156	659988	56382	3662257	1836520	4.08656e+01	6.34488e+01	8.23638e+01	3.06400e+01	4987320	1.99413e+00	1.81992e+00	9.04798e-01
462NIH	9.82337e-01	34357368	617758	29423533	3187119	1746716	5427866	587347	665338	10910	3617872	1809994	3.04187e+01	5.02158e+01	7.25917e+01	3.23560e+01	4933835	1.99883e+00	1.82463e+00	8.82780e-01
1443NIH	9.88719e-01	34580572	394554	29402530	3437549	1740493	5540816	680426	697291	7810	3675186	1865630	6.09026e+01	5.59107e+01	8.77317e+01	2.74350e+01	5178042	1.96994e+00	1.97504e+00	9.75814e-01
1680NIH	9.80689e-01	34299707	675419	29374227	3216938	1708542	5423508	579462	631049	40630	3609700	1813808	2.81119e+01	3.79067e+01	6.88514e+01	3.20781e+01	4925480	1.99012e+00	1.88286e+00	9.18252e-01
1844NIH	9.89168e-01	34596263	378863	29273693	3660599	1661971	5572040	707734	704765	8106	3692813	1879227	9.46178e+01	6.69762e+01	9.00416e+01	2.55972e+01	5322570	1.96507e+00	2.20256e+00	1.00421e+00
393NIH	9.83228e-01	34388539	586587	29465142	3179437	1743960	5421777	595073	650506	36628	3612300	1809477	3.32940e+01	5.12905e+01	7.63968e+01	3.18725e+01	4923397	1.99632e+00	1.82311e+00	9.14785e-01
1525NIH	9.83786e-01	34408044	567082	29344462	3377608	1685974	5470581	608303	670670	39599	3638643	1831938	3.35212e+01	4.92298e+01	7.72512e+01	3.18638e+01	5063582	1.98623e+00	2.00336e+00	9.07008e-01
1249NIH	9.79041e-01	34242073	733053	29345941	3141799	1754333	5438612	571613	640240	1992	3632195	1806417	3.05622e+01	4.03806e+01	7.27804e+01	3.25073e+01	4896132	2.01072e+00	1.79088e+00	8.92811e-01
1054NIH	9.79984e-01	34275072	700054	29364602	3158414	1752056	5475395	568053	619078	7441	3650282	1825113	3.15954e+01	4.96113e+01	7.46164e+01	3.20510e+01	4910470	2.00003e+00	1.80269e+00	9.17579e-01
984NIH	9.89437e-01	34605675	369451	29433248	3467198	1705229	5499824	681684	696145	4717	3646760	1853064	6.48107e+01	7.13853e+01	8.83239e+01	2.69322e+01	5172427	1.96796e+00	2.03327e+00	9.79227e-01
2420NIH	9.82247e-01	34354225	620901	29357989	3283516	1712720	5436162	601814	670979	10646	3615487	1820675	2.95304e+01	3.86044e+01	7.22704e+01	3.13182e+01	4996236	1.98579e+00	1.91714e+00	8.96919e-01
2623NIH	9.84379e-01	34428787	546339	29475405	3237921	1715461	5411661	596627	660554	35998	3604762	1806899	3.80682e+01	4.55453e+01	8.10011e+01	3.18184e+01	4953382	1.99500e+00	1.88749e+00	9.03222e-01
1662NIH	9.82141e-01	34350490	624636	29465886	3190094	1694510	5374211	575957	628946	11483	3583215	1790996	3.18675e+01	4.50700e+01	7.44983e+01	3.21929e+01	4884604	2.00068e+00	1.88261e+00	9.15750e-01
1842NIH	9.80281e-01	34285444	689682	29428826	3119678	1736940	5378467	581985	633105	8885	3588793	1789674	3.16564e+01	4.15939e+01	7.39428e+01	3.24943e+01	4856618	2.00528e+00	1.79608e+00	9.19255e-01
2611NIH	9.81755e-01	34336997	638129	29325136	3311652	1700209	5487692	575846	648532	60202	3664587	1823105	3.14982e+01	5.13825e+01	7.46511e+01	3.19224e+01	5011861	2.01008e+00	1.94779e+00	8.87922e-01
1412NIH	9.79028e-01	34241641	733485	29329535	3156438	1755668	5472589	563918	631267	26413	3652118	1820471	3.02224e+01	4.99602e+01	7.24413e+01	3.23402e+01	4912106	2.00614e+00	1.79786e+00	8.93311e-01
1814NIH	9.80640e-01	34298008	677118	29424454	3157337	1716217	5445018	541948	602805	20289	3633402	1811616	3.08533e+01	5.27618e+01	7.22237e+01	3.30111e+01	4873554	2.00561e+00	1.83971e+00	8.99044e-01
592NIH	9.79302e-01	34251194	723932	29425388	3130781	1695025	5354647	561390	604794	11030	3574842	1779805	2.83384e+01	4.00593e+01	6.94037e+01	3.13551e+01	4825806	2.00856e+00	1.84704e+00	9.28233e-01
1650NIH	9.84905e-01	34447175	527951	29410301	3304275	1732599	5466350	624805	678317	5260	3634139	1832211	3.69327e+01	5.63803e+01	7.92063e+01	3.14238e+01	5036874	1.98347e+00	1.90712e+00	9.21111e-01
1485NIH	9.82344e-01	34357598	617528	29315648	3300675	1741275	5513430	604167	665627	16953	3662914	1850516	2.94540e+01	3.81190e+01	7.23361e+01	3.16140e+01	5041950	1.97940e+00	1.89555e+00	9.07666e-01
1825NIH	9.85704e-01	34475127	499999	29492142	3238272	1744713	5477027	594953	655718	55285	3655782	1821245	4.18881e+01	6.06166e+01	8.28594e+01	3.07546e+01	4982985	2.00730e+00	1.85605e+00	9.07331e-01
1850NIH	9.82513e-01	34363516	611610	28914759	3725321	1723436	5847452	630370	694371	77398	3904266	1943186	3.20936e+01	5.58298e+01	7.51258e+01	3.19965e+01	5448757	2.00921e+00	2.16157e+00	9.07829e-01
895NIH	9.82608e-01	34366847	608279	29428018	3175494	1763335	5434700	597229	670234	7167	3620515	1814185	3.21324e+01	5.40936e+01	7.46951e+01	3.21438e+01	4938829	1.99567e+00	1.80085e+00	8.91075e-01
1806NIH	9.83501e-01	34398078	577048	29374960	3328093	1695025	5488305	586165	643673	15474	3653660	1834645	3.31402e+01	5.13420e+01	7.69708e+01	3.18676e+01	5023118	1.99148e+00	1.96345e+00	9.10656e-01
1826NIH	9.80805e-01	34303761	671365	29317267	3274092	1712402	5476159	582446	640290	45365	3645478	1830681	3.13445e+01	5.14469e+01	7.37040e+01	3.20534e+01	4986494	1.99132e+00	1.91199e+00	9.09660e-01
1487NIH	9.82499e-01	34363014	612112	29389104	3213380	1760530	5504969	587566	641905	3172	3662746	1842223	3.10641e+01	4.96419e+01	7.35725e+01	3.20400e+01	4973910	1.98822e+00	1.82523e+00	9.15347e-01
663NIH	9.79796e-01	34268504	706622	29429172	3096719	1742613	5402101	555996	623847	13481	3605612	1796489	3.04814e+01	5.20124e+01	7.09150e+01	3.27880e+01	4839332	2.00703e+00	1.77705e+00	8.91238e-01
1851NIH	9.81971e-01	34344554	630572	28892079	3727537	1724938	5879017	616440	681956	4621	3921960	1957057	3.45561e+01	5.80975e+01	7.76257e+01	3.20843e+01	5452475	2.00401e+00	2.16097e+00	9.03929e-01
1486NIH	9.78941e-01	34238582	736544	29344901	3090133	1803548	5463513	598857	634859	12615	3642107	1821406	3.25524e+01	5.29091e+01	7.44992e+01	3.21943e+01	4893681	1.99961e+00	1.71336e+00	9.43291e-01
1862NIH	9.82859e-01	34375634	599492	29315676	3227494	1832464	5590964	617600	683858	4234	3717113	1873851	3.23219e+01	5.11457e+01	7.64165e+01	3.10231e+01	5059958	1.98368e+00	1.76129e+00	9.03111e-01
1047NIH	9.81336e-01	34322350	652776	29289683	3285299	1747368	5483489	608951	687595	14044	3653927	1829562	2.83209e+01	3.86360e+01	7.08333e+01	3.13839e+01	5032667	1.99716e+00	1.88014e+00	8.85625e-01
1515NIH	9.79911e-01	34272523	702603	29422119	3089675	1760729	5438753	555976	616403	36396	3623106	1815647	3.42825e+01	5.95109e+01	7.44348e+01	3.32501e+01	4850404	1.99549e+00	1.75477e+00	9.01968e-01
1838NIH2	9.82539e-01	34364442	610684	29427619	3217408	1719415	5412957	590259	653022	21421	3607957	1805000	2.97673e+01	4.24783e+01	7.24639e+01	3.15823e+01	4936823	1.99887e+00	1.87122e+00	9.03888e-01
1286NIH	9.75661e-01	34123849	851277	29368373	2908227	1847249	5480327	538932	583464	14452	3663625	1816702	2.87896e+01	3.91689e+01	7.00820e+01	3.27142e+01	4755476	2.01664e+00	1.57436e+00	9.23677e-01
1686NIH	9.83318e-01	34391655	583471	29515656	3113998	1762001	5410598	585987	641414	8611	3607912	1802686	3.54553e+01	5.64932e+01	7.72615e+01	3.20256e+01	4875999	2.00141e+00	1.76731e+00	9.13586e-01
896NIH	9.80186e-01	34282119	693007	29455063	3086434	1740622	5381679	560033	625966	5132	3594662	1787017	2.96651e+01	3.91513e+01	7.25229e+01	3.20944e+01	4827056	2.01154e+00	1.77318e+00	8.94670e-01
1658NIH	9.78233e-01	34213826	761300	29343267	3156021	1714538	5428500	557225	599371	11957	3621886	1806614	2.93432e+01	3.93557e+01	7.07945e+01	3.24895e+01	4870559	2.00479e+00	1.84074e+00	9.29683e-01
463NIH	9.88002e-01	34555501	419625	29405821	3458853	1690827	5457123	676326	707058	4690	3620044	1837079	5.16296e+01	5.14327e+01	8.73019e+01	2.77013e+01	5149680	1.97054e+00	2.04566e+00	9.56535e-01
1145NIH	9.79539e-01	34259504	715622	29404595	3118359	1736550	5426975	548436	616046	33999	3623021	1803954	3.14452e+01	5.44280e+01	7.34687e+01	3.26040e+01	4854909	2.00838e+00	1.79572e+00	8.90252e-01
1859NIH	9.87340e-01	34532328	442798	29419654	3231556	1881118	5608329	673788	711674	5037	3723862	1884467	4.91927e+01	5.00873e+01	8.56359e+01	2.89235e+01	5112674	1.97608e+00	1.71789e+00	9.46765e-01
1248NIH	9.81188e-01	34317187	657939	29389627	3074607	1852953	5498995	601789	679729	3062	3665196	1833799	2.89034e+01	4.88490e+01	7.05705e+01	3.18273e+01	4927560	1.99869e+00	1.65930e+00	8.85337e-01
1614NIH	9.88670e-01	34578863	396263	29396234	3472289	1710340	5523590	662704	706674	3886	3672016	1851574	5.30979e+01	6.66632e+01	8.71540e+01	2.77897e+01	5182629	1.98319e+00	2.03017e+00	9.37779e-01
1827NIH	9.82366e-01	34358369	616757	29304036	3360249	1694084	5469773	598997	679647	55666	3646030	1823743	3.02072e+01	4.44380e+01	7.28932e+01	3.19051e+01	5054333	1.99920e+00	1.98352e+00	8.81335e-01
1045NIH	9.79163e-01	34246359	728767	29344304	3141871	1760184	5447311	573366	641562	4441	3636729	1810582	2.92164e+01	3.91416e+01	7.14243e+01	3.18498e+01	4902055	2.00860e+00	1.78497e+00	8.93703e-01
915NIH	9.80273e-01	34285158	689968	29393158	3139678	1752322	5450331	563857	630132	22295	3625630	1824701	3.00086e+01	5.29721e+01	7.02540e+01	3.27464e+01	4892000	1.98697e+00	1.79172e+00	8.94824e-01
1502NIH	9.81596e-01	34331458	643668	29368859	3220156	1742443	5466822	591543	646676	13954	3636222	1830600	3.09686e+01	4.08807e+01	7.36920e+01	3.21287e+01	4962599	1.98636e+00	1.84807e+00	9.14744e-01
1501NIH	9.82191e-01	34352241	622885	29278332	3365340	1708569	5488036	614173	680269	16270	3662129	1825907	2.96574e+01	3.78802e+01	7.22465e+01	3.17416e+01	5073909	2.00565e+00	1.96968e+00	9.02838e-01
2409NIH	9.83667e-01	34403881	571245	29511497	3237164	1655220	5379288	560186	608128	2042	3595701	1783587	3.46629e+01	5.78076e+01	7.37559e+01	3.31432e+01	4892384	2.01599e+00	1.95573e+00	9.21165e-01
1634NIH	9.81066e-01	34312924	662202	29397897	3171252	1743775	5419232	591224	648346	19157	3604337	1814895	2.91178e+01	4.21858e+01	6.98383e+01	3.24994e+01	4915027	1.98598e+00	1.81861e+00	9.11896e-01
1284NIH	9.79085e-01	34243627	731499	29445517	2965757	1832353	5430391	564191	635878	2570	3628377	1802014	3.01325e+01	3.83936e+01	7.26945e+01	3.22230e+01	4798110	2.01351e+00	1.61855e+00	8.87263e-01
1713NIH	9.76754e-01	34162107	813019	29396252	3082834	1683021	5366875	513465	568536	11714	3587790	1779085	2.93475e+01	4.71909e+01	7.05187e+01	3.28686e+01	4765855	2.01665e+00	1.83173e+00	9.03135e-01
2619NIH	9.77269e-01	34180122	795004	29381363	3088731	1710028	5381468	536919	590399	10324	3595346	1786122	2.81748e+01	3.83654e+01	6.95004e+01	3.18983e+01	4798759	2.01293e+00	1.80625e+00	9.09417e-01
1027NIH	9.80517e-01	34293707	681419	29396477	3199309	1697921	5417799	554652	622699	22841	3614288	1803511	3.25571e+01	5.26122e+01	7.59118e+01	3.18322e+01	4897230	2.00403e+00	1.88425e+00	8.90722e-01
1762NIH	9.81729e-01	34336107	639019	29262544	3379889	1693674	5454984	611499	700754	3368	3634735	1820249	2.99853e+01	3.84767e+01	7.28570e+01	3.18431e+01	5073563	1.99683e+00	1.99560e+00	8.72630e-01
1754NIH	9.76384e-01	34149161	825965	29295953	3152334	1700874	5453499	522260	578323	13053	3644675	1808824	2.93905e+01	4.66632e+01	7.02073e+01	3.29149e+01	4853208	2.01494e+00	1.85336e+00	9.03059e-01
990NIH	9.83592e-01	34401260	573866	29456477	3198169	1746614	5421338	602351	667708	4834	3615979	1805359	3.27979e+01	5.36068e+01	7.60539e+01	3.17577e+01	4944783	2.00291e+00	1.83107e+00	9.02117e-01
1404NIH	9.87545e-01	34539495	435631	29404031	3365734	1769730	5534901	665263	705030	4903	3674074	1860827	4.96068e+01	4.87897e+01	8.59690e+01	2.87541e+01	5135464	1.97443e+00	1.90183e+00	9.43595e-01
1624NIH	9.81450e-01	34326329	648797	29332980	3298598	1694751	5430113	595210	662776	39629	3612229	1817884	2.97463e+01	3.81133e+01	7.19176e+01	3.19192e+01	4993349	1.98705e+00	1.94636e+00	8.98056e-01
1769NIH	9.79838e-01	34269960	705166	29431569	3083433	1754958	5443475	548195	601679	2450	3632177	1811298	3.12062e+01	5.06202e+01	7.40225e+01	3.23644e+01	4838391	2.00529e+00	1.75698e+00	9.11109e-01
1858NIH	9.80352e-01	34287940	687186	29343481	3200140	1744319	5454093	584798	649884	26760	3631902	1822191	2.88275e+01	3.77246e+01	7.07043e+01	3.21023e+01	4944459	1.99315e+00	1.83461e+00	8.99850e-01
1239NIH	9.82425e-01	34360440	614686	29323721	3291760	1744959	5526116	600619	654942	15767	3670450	1855666	2.96588e+01	4.60980e+01	7.18303e+01	3.14881e+01	5036719	1.97797e+00	1.88644e+00	9.17057e-01
